artist;song;duration_ms
Craig David;Don't Love You No More (I'm Sorry);243986
Katie Melua;Nine Million Bicycles;197160
Lil Jon & The East Side Boyz;Lovers And Friends;260600
Mariah Carey;Don't Forget About Us - Radio Edit;233866
Ying Yang Twins;Wait (The Whisper Song);179160
Will Smith;Switch;197666
Bow Wow;Like You (feat. Ciara);205840
Kaiser Chiefs;Everyday I Love You Less And Less;217706
Kelly Clarkson;Behind These Hazel Eyes;198973
Black Eyed Peas;Don't Lie;219000
Westlife;You Raise Me Up;241066
Ray J;One Wish;337640
Papa Roach;Scars;208199
Arctic Monkeys;I Bet You Look Good On The Dancefloor;173680
Shayne Ward;That's My Goal;219600
Bow Wow;Let Me Hold You (feat. Omarion);248493
Kaiser Chiefs;I Predict A Riot;233186
Usher;Caught Up;224640
Kelly Clarkson;Because of You;219493
3 Doors Down;Let Me Go;243053
Nickelback;Photograph;258920
T-Pain;I'm Sprung;231040
Destiny's Child;Cater 2 U;245400
The Pussycat Dolls;Stickwitu;207506
Ryan Cabrera;TRUE;204173
Stereophonics;Dakota;297426
Eminem;Like Toy Soldiers;296880
Nelly;Over And Over;253933
Coldplay;Speed of Sound;287906
KT Tunstall;Suddenly I See;201706
Destiny's Child;Girl;224146
Kelly Clarkson;Since U Been Gone;188960
U2;Sometimes You Can't Make It On Your Own;305080
The All-American Rejects;Dirty Little Secret;193653
Toby Keith;As Good As I Once Was;227840
Gwen Stefani;Cool;189333
Foo Fighters;Best of You;255626
Shakira;Hips Don't Lie (feat. Wyclef Jean);218093
Sean Paul;Temperature;218573
Justin Timberlake;SexyBack (feat. Timbaland);242733
Beyoncé;Irreplaceable;227853
Amy Winehouse;Rehab;214946
Rihanna;SOS;238920
Gnarls Barkley;Crazy;177466
Busta Rhymes;Touch It;214960
Nelly Furtado;Maneater;258893
Bob Sinclar;Rock This Party - Everybody Dance Now;245466
Diddy;Come to Me (feat. Nicole Scherzinger);276786
Madonna;Sorry;281880
Chamillionaire;Ridin';303053
Black Eyed Peas;Pump It;213066
Nelly Furtado;Promiscuous;242293
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;150533
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;243880
The Pussycat Dolls;Buttons;225560
Ciara;Get Up (feat. Chamillionaire);261880
Eminem;Shake That;274440
Cherish;Do It To It;226293
Muse;Supermassive Black Hole;212439
Chris Brown;Gimme That;186826
Infernal;From Paris to Berlin;209666
Cassie;Me & U;192213
