artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Blu Cantrell;Hit 'Em Up Style (Oops!);0,667;0,773;5;-4,983;0;0,0586;0,201;0;0,404;0,667;89,976
Britney Spears;I'm a Slave 4 U;0,847;0,843;5;-3,579;0;0,106;0,415;0,000134;0,107;0,963;110,027
Kylie Minogue;In Your Eyes;0,689;0,894;6;-6,342;0;0,0672;0,133;4,72E-05;0,0681;0,709;123,971
Missy Elliott;One Minute Man (feat. Ludacris);0,622;0,669;9;-8,419;1;0,329;0,0266;2,97E-06;0,152;0,57;93,839
Mary J. Blige;Family Affair;0,911;0,551;8;-3,75;0;0,0449;0,132;4,12E-05;0,0863;0,969;92,887
Faithless;We Come 1 - Radio Edit;0,645;0,903;5;-10,587;0;0,0441;0,00188;0,799;0,147;0,61;135,977
Limp Bizkit;Rollin' (Air Raid Vehicle);0,603;0,933;1;-3,358;1;0,171;0,00591;0;0,206;0,709;96,306
Lasgo;Something;0,643;0,981;7;-6,644;0;0,0439;0,0271;8,93E-05;0,11;0,38;140,01
iio;Rapture (feat.Nadia Ali);0,661;0,855;8;-8,403;1;0,0377;0,0722;0,0185;0,199;0,601;123,943
Emma Bunton;What Took You So Long?;0,668;0,772;9;-5,4;0;0,0307;0,123;0;0,341;0,911;118,011
112;It's Over Now;0,66;0,71;1;-4,541;1;0,0409;0,0106;7,01E-06;0,0736;0,233;97,988
Blue;All Rise;0,721;0,737;5;-2,734;0;0,0324;0,121;0;0,165;0,931;97,996
Jessica Simpson;Irresistible;0,657;0,965;8;-2,771;0;0,0556;0,0285;8,84E-05;0,0552;0,669;93,013
Crazy Town;Butterfly;0,736;0,811;9;-4,17;0;0,081;0,00132;0,000142;0,107;0,609;103,502
Michael Jackson;You Rock My World;0,854;0,673;4;-3,132;0;0,185;0,038;0,000227;0,255;0,955;95
Eve;Let Me Blow Ya Mind;0,908;0,557;8;-4,243;0;0,107;0,242;0;0,0709;0,897;90,032
